OBJECTID,SOURCEID,USERID,SCORE
102,mockingJay,178,5
101,mockingJay,178,5
105,mockingJay,181,5
105,mockingJay,184,4
201,mockingJay,186,5
202,mockingJay,186,2
201,mockingJay,187,2
205,mockingJay,187,3
206,mockingJay,187,4
208,mockingJay,187,2
210,mockingJay,187,2
201,mockingJay,188,1
208,mockingJay,188,1
204,mockingJay,189,5
205,mockingJay,189,5
207,mockingJay,190,2
205,mockingJay,191,2
209,mockingJay,191,2
203,mockingJay,192,4
209,mockingJay,192,5
203,mockingJay,193,1
207,mockingJay,193,1
203,mockingJay,194,5
207,mockingJay,194,5
202,mockingJay,195,3
401,mockingJay,196,5
402,mockingJay,196,2
403,mockingJay,197,5
404,mockingJay,197,5
405,mockingJay,197,2
406,mockingJay,198,5
407,mockingJay,198,5
408,mockingJay,199,2
404,mockingJay,199,5
401,mockingJay,200,5
402,mockingJay,200,2
403,mockingJay,201,5
3,groupF,206,4
4,groupF,206,3
5,groupF,207,5
22,groupF,213,4
26,groupF,213,5
1,groupF,214,1
2,groupF,215,3
3,groupF,216,2
4,groupF,217,1
40,Hoopajewp,222,5
39,Hoopajewp,223,2
38,Hoopajewp,224,1
37,Hoopajewp,225,2
36,Hoopajewp,226,2
35,Hoopajewp,227,4
34,Hoopajewp,228,4
33,Hoopajewp,229,5
32,Hoopajewp,230,4
31,Hoopajewp,231,3
30,Hoopajewp,232,2
29,Hoopajewp,233,1
28,Hoopajewp,234,2
27,Hoopajewp,235,5
26,Hoopajewp,236,4
25,Hoopajewp,237,3
24,Hoopajewp,238,2
23,Hoopajewp,239,2
22,Hoopajewp,240,1
21,Hoopajewp,241,5
20,Hoopajewp,242,4
19,Hoopajewp,243,4
18,Hoopajewp,244,4
17,Hoopajewp,245,3
16,Hoopajewp,246,2
15,Hoopajewp,247,1
14,Hoopajewp,248,5
13,Hoopajewp,249,5
12,Hoopajewp,250,4
11,Hoopajewp,251,2
10,Hoopajewp,252,1
9,Hoopajewp,253,5
8,Hoopajewp,254,5
7,Hoopajewp,255,1
6,Hoopajewp,256,5
5,Hoopajewp,257,4
4,Hoopajewp,258,3
3,Hoopajewp,259,2
2,Hoopajewp,260,3
1,Hoopajewp,261,5
99,pomegranate,262,1
95,pomegranate,263,2
98,pomegranate,264,3
344,DBnerds,273,5
345,DBnerds,273,5
346,DBnerds,273,5
348,DBnerds,273,5
361,DBnerds,273,5
347,DBnerds,273,5
142,DBnerds,285,5
143,DBnerds,285,5
145,DBnerds,285,5
147,DBnerds,285,5
148,DBnerds,285,5
150,DBnerds,285,5
151,DBnerds,285,5
146,DBnerds,285,5
152,DBnerds,286,5
153,DBnerds,286,5
154,DBnerds,286,5
155,DBnerds,286,5
1,X,293,4
2,X,293,5
3,X,293,4
4,X,293,3
5,X,293,3
1,X,294,5
2,X,294,5
3,X,294,4
4,X,294,5
5,X,294,4
